AB,H,BA
10,3,0.3
50,13,0.26
19,5,0.2631578947368421
100,40,0.4
100,20,0.2
10,3,0.3
100,20,0.2
199,30,0.1507537688442211
102,30,0.2941176470588235
20,2,0.1
120,30,0.25
21,4,0.1904761904761904
24,5,0.2083333333333333
45,12,0.2666666666666666
31,12,0.3870967741935484
30,3,0.1
30,12,0.4
39,7,0.1794871794871795
34,12,0.3529411764705882
34,10,0.294
34,10,0.294
45,13,0.289
45,13,0.289
45,13,0.289
65,23,0.354
15,23,1.533
115,20,0.174
115,20,0.174
125,10,0.08
125,40,0.32
125,40,0.32
125,40,0.32
125,40,0.32
125,40,0.32
125,40,0.32
134,40,0.299
134,40,0.299
134,40,0.299
134,40,0.299
134,40,0.299
20,2,0.1
20,2,0.1
20,2,0.1
20,2,0.1
20,2,0.1
20,2,0.1
20,2,0.1
20,2,0.1
20,2,0.1
