AB,H,BA
225,57,0.253
76,18,0.237
71,16,0.225
2,0,0.0
69,16,0.232
5,2,0.4
4,0,0.0
282,78,0.277
356,102,0.287
307,78,0.254
315,83,0.263
0,0,0.0
226,47,0.208
85,18,0.212
237,51,0.215
52,12,0.231
219,36,0.164
0,0,0.0
101,26,0.257
0,0,0.0
113,22,0.195
207,52,0.251
202,57,0.282
278,74,0.266
0,0,0.0
105,28,0.267
79,20,0.253
83,21,0.253
278,69,0.248
242,73,0.302
349,89,0.255
351,87,0.248
21,5,0.238
150,34,0.227
339,72,0.212
7,0,0.0
367,102,0.278
31,9,0.29
327,95,0.291
0,0,0.0
90,15,0.167
227,51,0.225
49,10,0.204
274,74,0.27
1,0,0.0
142,30,0.211
4,0,0.0
58,15,0.259
83,24,0.289
138,32,0.232
165,55,0.333
106,21,0.198
0,0,0.0
38,7,0.184
36,4,0.111
0,0,0.0
209,56,0.268
222,60,0.27
20,4,0.2
264,62,0.235
181,46,0.254
115,31,0.27
66,15,0.227
251,65,0.259
281,55,0.196
0,0,0.0
0,0,0.0
256,73,0.285
106,29,0.274
48,16,0.333
127,24,0.189
0,0,0.0
43,9,0.209
68,13,0.191
324,101,0.312
0,0,0.0
206,52,0.252
49,6,0.122
200,52,0.26
56,7,0.125
373,97,0.26
275,63,0.229
130,19,0.146
254,67,0.264
159,49,0.308
53,15,0.283
102,24,0.235
138,29,0.21
368,111,0.302
2,0,0.0
240,60,0.25
371,95,0.256
33,7,0.212
291,71,0.244
25,4,0.16
290,67,0.231
49,16,0.327
8,1,0.125
105,24,0.229
284,74,0.261
231,57,0.247
196,47,0.24
10,0,0.0
343,81,0.236
243,69,0.284
45,8,0.178
246,68,0.276
125,29,0.232
13,2,0.154
0,0,0.0
7,4,0.571
15,2,0.133
337,83,0.246
103,22,0.214
266,58,0.218
217,59,0.272
13,1,0.077
110,27,0.245
12,3,0.25
2,0,0.0
0,0,0.0
120,30,0.25
127,22,0.173
249,61,0.245
0,0,0.0
334,80,0.24
0,0,0.0
0,0,0.0
285,63,0.221
238,64,0.269
246,70,0.285
370,109,0.295
26,5,0.192
62,15,0.242
311,76,0.244
145,39,0.269
77,23,0.299
148,35,0.236
342,83,0.243
237,51,0.215
59,11,0.186
66,20,0.303
323,83,0.257
5,1,0.2
385,105,0.273
28,2,0.071
14,3,0.214
182,51,0.28
340,83,0.244
373,102,0.273
107,32,0.299
14,3,0.214
16,3,0.188
0,0,0.0
392,96,0.245
182,38,0.209
0,0,0.0
0,0,0.0
11,3,0.273
183,43,0.235
221,50,0.226
0,0,0.0
0,0,0.0
276,66,0.239
10,2,0.2
376,98,0.261
291,73,0.251
0,0,0.0
49,11,0.224
23,6,0.261
26,5,0.192
334,86,0.257
0,0,0.0
0,0,0.0
307,75,0.244
355,96,0.27
225,57,0.253
18,2,0.111
141,27,0.191
6,1,0.167
135,26,0.193
207,54,0.261
0,0,0.0
329,75,0.228
358,95,0.265
0,0,0.0
0,0,0.0
1,0,0.0
181,39,0.215
136,29,0.213
0,0,0.0
368,68,0.185
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
263,92,0.35
278,62,0.223
412,112,0.272
206,48,0.233
23,3,0.13
0,0,0.0
194,42,0.216
4,0,0.0
135,27,0.2
0,0,0.0
29,3,0.103
218,50,0.229
92,29,0.315
342,92,0.269
110,23,0.209
94,18,0.191
184,35,0.19
266,77,0.289
32,4,0.125
25,3,0.12
0,0,0.0
0,0,0.0
0,0,0.0
239,65,0.272
351,86,0.245
188,47,0.25
68,9,0.132
340,91,0.268
9,2,0.222
379,101,0.266
137,27,0.197
0,0,0.0
180,36,0.2
354,97,0.274
15,4,0.267
323,80,0.248
9,0,0.0
13,3,0.231
364,111,0.305
30,2,0.067
322,78,0.242
53,12,0.226
352,80,0.227
47,8,0.17
0,0,0.0
262,59,0.225
